epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,156.026,0.83247,2.89928,0.39028,1.17314,0.98728,0.01083,0.92857,0.39982,0.20653,0.00417,0.35714,0.15959,0.03149,1.58034,8.14114,0.632,2.95625,1.80236,0.000504602,0.000504602,0.000504602
51,159.138,0.87053,2.88467,0.35069,1.36347,1.01728,0.01083,0.92857,0.3935,0.2177,0.005,0.42857,0.15044,0.03352,1.68746,8.21229,0.6204,2.98173,1.89638,0.000505,0.000505,0.000505
52,162.18,1.35116,4.24647,0.61216,1.65275,1.17908,0.01083,0.92857,0.3935,0.2177,0.005,0.42857,0.15044,0.03352,1.68746,8.21229,0.6204,2.98173,1.89638,0.000505002,0.000505002,0.000505002
53,165.128,0.85611,2.03085,0.2851,1.06157,1.03184,0.01083,0.92857,0.3935,0.2177,0.005,0.42857,0.15044,0.03352,1.68746,8.21229,0.6204,2.98173,1.89638,0.000504608,0.000504608,0.000504608
54,168.319,0.81184,2.80113,0.32505,1.24488,1.00819,0.01083,0.92857,0.40063,0.22521,0.00333,0.28571,0.14842,0.08536,1.69423,8.1478,0.60294,3.00022,1.83354,0.000503818,0.000503818,0.000503818
55,171.389,1.10419,3.70397,0.32954,1.24826,1.01158,0.01083,0.92857,0.40063,0.22521,0.00333,0.28571,0.14842,0.08536,1.69423,8.1478,0.60294,3.00022,1.83354,0.000502632,0.000502632,0.000502632
56,174.392,1.1459,2.48865,0.32489,1.48684,1.16179,0.01083,0.92857,0.40063,0.22521,0.00333,0.28571,0.14842,0.08536,1.69423,8.1478,0.60294,3.00022,1.83354,0.00050105,0.00050105,0.00050105
57,177.482,1.09335,3.67666,0.27795,1.81738,1.29821,0.01,0.85714,0.44965,0.21908,0.00333,0.28571,0.14762,0.0731,1.74066,7.92618,0.57528,2.97721,1.84472,0.000499072,0.000499072,0.000499072
58,180.516,0.98638,3.04309,0.28268,1.3607,1.19814,0.01,0.85714,0.44965,0.21908,0.00333,0.28571,0.14762,0.0731,1.74066,7.92618,0.57528,2.97721,1.84472,0.000496698,0.000496698,0.000496698
59,183.571,0.76254,2.12012,0.29261,1.20048,0.99847,0.01,0.85714,0.44965,0.21908,0.00333,0.28571,0.14762,0.0731,1.74066,7.92618,0.57528,2.97721,1.84472,0.000493928,0.000493928,0.000493928
